Original URL,GitHub URL,CDNJS/Raw URL,File Size
https://ya-mahdi.net/apps_audio/Ghamdi001.m4a,https://github.com/alihusains/audio/blob/main/apps_audio/Ghamdi001.m4a,https://cdnjs.cloudflare.com/ajax/libs/Ghamdi001.m4a,0.17 MB
https://ya-mahdi.net/apps_audio/Ghamdi001.mp3,https://github.com/alihusains/audio/blob/main/apps_audio/Ghamdi001.mp3,https://cdnjs.cloudflare.com/ajax/libs/Ghamdi001.mp3,0.32 MB
https://ya-mahdi.net/apps_audio/aba_thar/adileh_halwaji.m4a,https://github.com/alihusains/audio/blob/main/apps_audio/aba_thar/adileh_halwaji.m4a,https://cdnjs.cloudflare.com/ajax/libs/aba_thar/adileh_halwaji.m4a,2.80 MB
https://ya-mahdi.net/apps_audio/aba_thar/adileh_halwaji.mp3,https://github.com/alihusains/audio/blob/main/apps_audio/aba_thar/adileh_halwaji.mp3,https://cdnjs.cloudflare.com/ajax/libs/aba_thar/adileh_halwaji.mp3,2.72 MB
https://ya-mahdi.net/apps_audio/aba_thar/ahd-abozarhalvaji128.m4a,https://github.com/alihusains/audio/blob/main/apps_audio/aba_thar/ahd-abozarhalvaji128.m4a,https://cdnjs.cloudflare.com/ajax/libs/aba_thar/ahd-abozarhalvaji128.m4a,2.51 MB
https://ya-mahdi.net/apps_audio/aba_thar/ahd-abozarhalvaji128.mp3,https://github.com/alihusains/audio/blob/main/apps_audio/aba_thar/ahd-abozarhalvaji128.mp3,https://cdnjs.cloudflare.com/ajax/libs/aba_thar/ahd-abozarhalvaji128.mp3,9.77 MB
https://ya-mahdi.net/apps_audio/aba_thar/alhojob_halvaji.m4a,https://github.com/alihusains/audio/blob/main/apps_audio/aba_thar/alhojob_halvaji.m4a,https://cdnjs.cloudflare.com/ajax/libs/aba_thar/alhojob_halvaji.m4a,1.41 MB
https://ya-mahdi.net/apps_audio/aba_thar/alhojob_halvaji.mp3,https://github.com/alihusains/audio/blob/main/apps_audio/aba_thar/alhojob_halvaji.mp3,https://cdnjs.cloudflare.com/ajax/libs/aba_thar/alhojob_halvaji.mp3,5.48 MB
https://ya-mahdi.net/apps_audio/aba_thar/faraj.m4a,https://github.com/alihusains/audio/blob/main/apps_audio/aba_thar/faraj.m4a,https://cdnjs.cloudflare.com/ajax/libs/aba_thar/faraj.m4a,0.57 MB
https://ya-mahdi.net/apps_audio/aba_thar/faraj.mp3,https://github.com/alihusains/audio/blob/main/apps_audio/aba_thar/faraj.mp3,https://cdnjs.cloudflare.com/ajax/libs/aba_thar/faraj.mp3,2.21 MB
